CVX,114,meningococcal polysaccharide (groups A  C  Y and W-135) diphtheria toxoid conjugate vaccine (MCV4P),hiv_care
CVX,115,tetanus toxoid  reduced diphtheria toxoid  and acellular pertussis vaccine  adsorbed,hiv_care
CVX,133,pneumococcal conjugate vaccine  13 valent,hiv_care
CVX,187,zoster vaccine recombinant,hiv_care
CVX,33,pneumococcal polysaccharide vaccine  23 valent,hiv_care
LOINC,10230-1,Left ventricular Ejection fraction,preoperative|Congestive Heart Failure
LOINC,10480-2,Estrogen+Progesterone receptor Ag [Presence] in Tissue by Immune stain,Hormone_Diagnosis
LOINC,10834-0,Globulin [Mass/volume] in Serum by calculation,Veteran Prostate Cancer|Lung Cancer|Colorectal Cancer|Gallstones|Dialysis|Veteran Hyperlipidemia
LOINC,13945-1,RBCs,UTI_Labs
LOINC,14627-4,Bicarbonate [Moles/volume] in Venous blood,or_labs_meds
LOINC,14804-9,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction,measurements_frequent
LOINC,14959-1,Microalbumin/Creatinine [Mass Ratio] in Urine,Wellness Encounters
LOINC,1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Veteran Prostate Cancer|Lung Cancer|Colorectal Cancer|Gallstones|hiv_baseline|Veteran Hyperlipidemia|chf_lab_work|measurements_daily|UTI_ED_Bundle|hospital_basic_labs|cardiac_labs|Dialysis|labs_common
LOINC,1751-7,Albumin [Mass/volume] in Serum or Plasma,Veteran Prostate Cancer|Lung Cancer|Colorectal Cancer|Gallstones|hiv_baseline|Veteran Hyperlipidemia|chf_lab_work|measurements_daily|UTI_ED_Bundle|hospital_basic_labs|cardiac_labs|Dialysis|labs_common
LOINC,17861-6,Calcium [Mass/volume] in Serum or Plasma,measurements_daily|UTI_ED_Bundle|hospital_basic_labs|cardiac_labs|kidney conditions|Gallstones|hiv_baseline|labs_common|chf_lab_work
LOINC,18262-6,Low Density Lipoprotein Cholesterol,cardiac_labs|hiv_baseline|Veteran Hyperlipidemia|labs_common|Wellness Encounters|chf_lab_work
LOINC,18752-6,Exercise stress test study,NSTEACS Pathway
LOINC,19123-9,Magnesium [Mass/volume] in Serum or Plasma,hospital_basic_labs|or_labs_meds|labs_common|chf_lab_work
LOINC,1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Veteran Prostate Cancer|Lung Cancer|Colorectal Cancer|Gallstones|hiv_baseline|Veteran Hyperlipidemia|chf_lab_work|measurements_daily|UTI_ED_Bundle|hospital_basic_labs|cardiac_labs|Dialysis|labs_common
LOINC,1960-4,Bicarbonate [Moles/volume] in Arterial blood,measurements_daily|hospital_basic_labs|or_labs_meds|labs_common
LOINC,1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,Veteran Prostate Cancer|Lung Cancer|measurements_daily|UTI_ED_Bundle|hospital_basic_labs|cardiac_labs|Colorectal Cancer|hiv_baseline|Dialysis|Veteran Hyperlipidemia|labs_common|chf_lab_work
